Date,Open,High,Low,Close,Volume,Adj Close
2016-01-15,9300.00,9300.00,9000.00,9000.00,123600,9000.00
2016-01-14,9300.00,9400.00,9100.00,9200.00,87800,9200.00
2016-01-13,9500.00,9500.00,9300.00,9300.00,86400,9300.00
2016-01-12,9500.00,9600.00,9200.00,9400.00,107400,9400.00
2016-01-11,9400.00,9600.00,9300.00,9300.00,109400,9300.00
2016-01-08,9500.00,9500.00,9300.00,9300.00,155100,9300.00
2016-01-07,9900.00,10000.00,9400.00,9500.00,187300,9500.00
2016-01-06,9500.00,10200.00,9400.00,9800.00,98300,9800.00
2016-01-05,9300.00,9500.00,9300.00,9300.00,219800,9300.00
2016-01-04,9400.00,9500.00,9300.00,9300.00,246600,9300.00
2016-01-01,9300.00,9300.00,9300.00,9300.00,000,9300.00
2015-12-31,9400.00,9400.00,9200.00,9300.00,76100,9300.00
2015-12-30,9300.00,9400.00,9200.00,9300.00,70300,9300.00
2015-12-29,9400.00,9400.00,9200.00,9200.00,28500,9200.00
2015-12-28,9300.00,9400.00,9200.00,9300.00,182000,9300.00
2015-12-25,9300.00,9500.00,9100.00,9300.00,202300,9300.00
2015-12-24,9200.00,9400.00,9100.00,9300.00,185800,9300.00
2015-12-23,9300.00,9400.00,9100.00,9200.00,123900,9200.00
2015-12-22,9400.00,9500.00,9200.00,9300.00,124000,9300.00
2015-12-21,9500.00,9600.00,9300.00,9400.00,114800,9400.00
2015-12-18,9600.00,9600.00,9300.00,9500.00,176400,9500.00
2015-12-17,9500.00,9800.00,9300.00,9500.00,168900,9500.00
2015-12-16,9500.00,9800.00,9300.00,9500.00,350700,9500.00
2015-12-15,9400.00,9600.00,9200.00,9400.00,200800,9400.00
2015-12-14,9300.00,9500.00,9300.00,9400.00,104100,9400.00
2015-12-11,9400.00,9400.00,9200.00,9300.00,57500,9300.00
2015-12-10,9400.00,9400.00,9200.00,9300.00,51500,9300.00
2015-12-09,9500.00,9500.00,9300.00,9300.00,78700,9300.00
2015-12-08,9500.00,9500.00,9300.00,9400.00,72000,9400.00
2015-12-07,9400.00,9600.00,9300.00,9400.00,64500,9400.00
2015-12-04,9500.00,9600.00,9300.00,9500.00,79900,9500.00
2015-12-03,9800.00,9800.00,9400.00,9500.00,76300,9500.00
2015-12-02,10000.00,10000.00,9400.00,9500.00,100800,9500.00
2015-12-01,9300.00,9700.00,9300.00,9300.00,85700,9300.00
2015-11-30,9900.00,9900.00,9400.00,9400.00,101100,9400.00
2015-11-27,10200.00,10200.00,9800.00,9800.00,78300,9800.00
2015-11-26,10000.00,10200.00,9900.00,10000.00,73700,10000.00
2015-11-25,10400.00,10600.00,10000.00,10200.00,148800,10200.00
2015-11-24,10989.00,11183.50,10600.00,10600.00,196400,9700.00
2015-11-23,10697.20,11183.50,10600.00,10697.20,222800,9788.95
2015-11-20,10697.20,10794.50,10502.80,10600.00,90200,9700.00
2015-11-19,10600.00,10697.20,10600.00,10600.00,182200,9700.00
2015-11-18,10405.50,10600.00,10405.50,10502.80,134000,9611.05
2015-11-17,10211.00,10502.80,10211.00,10405.50,86400,9522.01
2015-11-16,10308.30,10308.30,10211.00,10211.00,77200,9344.03
2015-11-13,10600.00,10600.00,10308.30,10308.30,107800,9433.07
2015-11-12,10502.80,10600.00,10211.00,10502.80,123900,9611.05
2015-11-11,10502.80,10600.00,10405.50,10502.80,87300,9611.05
2015-11-10,10697.20,10794.50,10502.80,10600.00,117800,9700.00
2015-11-09,10405.50,10794.50,10211.00,10600.00,70000,9700.00
2015-11-06,10600.00,10697.20,10502.80,10600.00,182200,9700.00
2015-11-05,10405.50,10600.00,10308.30,10405.50,94500,9522.01
2015-11-04,10600.00,10697.20,10308.30,10308.30,118300,9433.07
2015-11-03,10405.50,10502.80,10308.30,10502.80,125000,9611.05
2015-11-02,10600.00,10600.00,10405.50,10405.50,68400,9522.01
2015-10-30,10794.50,10794.50,10502.80,10502.80,32400,9611.05
2015-10-29,10989.00,10989.00,10502.80,10697.20,107600,9788.95
2015-10-28,10697.20,10989.00,10697.20,10794.50,242200,9877.99
2015-10-27,10502.80,10794.50,10405.50,10697.20,118900,9788.95
2015-10-26,10502.80,10600.00,10405.50,10502.80,135500,9611.05
2015-10-23,10211.00,10891.70,10211.00,10405.50,591900,9522.01
2015-10-22,10211.00,10308.30,10211.00,10211.00,41200,9344.03
2015-10-21,10211.00,10308.30,10113.80,10211.00,80000,9344.03
2015-10-20,10405.50,10502.80,10113.80,10211.00,118900,9344.03
2015-10-19,10502.80,10600.00,10308.30,10502.80,199100,9611.05
2015-10-16,10697.20,10794.50,10211.00,10600.00,184900,9700.00
2015-10-15,10113.80,10794.50,9919.26,10600.00,562400,9700.00
2015-10-14,10308.30,10502.80,10016.50,10308.30,376500,9433.07
2015-10-13,10405.50,10502.80,10016.50,10308.30,195900,9433.07
2015-10-12,10502.80,10502.80,10016.50,10405.50,271000,9522.01
2015-10-09,10502.80,10600.00,10016.50,10502.80,330400,9611.05
2015-10-08,10405.50,10600.00,10113.80,10502.80,172000,9611.05
2015-10-07,10405.50,10600.00,10016.50,10405.50,207500,9522.01
2015-10-06,10405.50,10502.80,10113.80,10405.50,219600,9522.01
2015-10-05,10600.00,10697.20,10113.80,10308.30,143100,9433.07
2015-10-02,10989.00,10989.00,10405.50,10405.50,259400,9522.01
2015-10-01,10697.20,10989.00,10502.80,10600.00,410800,9700.00
2015-09-30,10405.50,10697.20,10113.80,10405.50,189600,9522.01
2015-09-29,10502.80,10891.70,10308.30,10405.50,217800,9522.01
2015-09-28,10794.50,10891.70,10405.50,10600.00,89000,9700.00
2015-09-25,10600.00,11378.00,10502.80,10794.50,176400,9877.99
2015-09-24,12156.00,12350.50,11280.70,11378.00,177300,10411.94
2015-09-23,11669.70,13128.40,11669.70,12350.50,176200,11301.87
2015-09-22,11669.70,11961.50,11183.50,11961.50,317600,10945.90
2015-09-21,10211.00,10891.70,10211.00,10891.70,207100,9966.93
2015-09-18,10891.70,10891.70,9919.26,9919.26,212900,9077.06
2015-09-17,10794.50,11183.50,10600.00,10794.50,162100,9877.99
2015-09-16,10405.50,10697.20,10211.00,10697.20,109500,9788.95
2015-09-15,10794.50,10891.70,10113.80,10113.80,120100,9255.08
2015-09-14,12058.70,12058.70,10794.50,10891.70,109000,9966.93
2015-09-11,10600.00,11183.50,10600.00,11183.50,125500,10233.96
2015-09-10,11086.20,11086.20,10600.00,10600.00,115200,9700.00
2015-09-09,11669.70,11669.70,10989.00,11183.50,135200,10233.96
2015-09-08,10502.80,11183.50,10308.30,10989.00,168100,10055.97
2015-09-07,9627.52,10211.00,9627.52,10211.00,112700,9344.03
2015-09-04,9627.52,9822.02,9627.52,9724.77,125500,8899.08
2015-09-03,9530.27,9919.26,9530.27,9724.77,211900,8899.08
2015-09-02,9530.27,9530.27,9530.27,9530.27,000,8721.10
2015-09-01,9919.26,9919.26,9530.27,9530.27,109100,8721.10
2015-08-31,9919.26,9919.26,9530.27,9530.27,119500,8721.10
2015-08-28,9724.77,9822.02,9724.77,9822.02,105900,8988.07
2015-08-27,9530.27,9724.77,9530.27,9724.77,114100,8899.08
2015-08-26,9335.78,9724.77,9238.53,9530.27,120600,8721.10
2015-08-25,9141.28,9335.78,9141.28,9238.53,110000,8454.13
2015-08-24,10016.50,10113.80,9238.53,9238.53,114500,8454.13
2015-08-21,10600.00,10600.00,9822.02,10211.00,114100,9344.03
2015-08-20,9627.52,10405.50,9530.27,10405.50,131800,9522.01
2015-08-19,9724.77,9822.02,9627.52,9627.52,105200,8810.09
2015-08-18,9724.77,9822.02,9530.27,9724.77,118700,8899.08
2015-08-17,9724.77,9822.02,9627.52,9627.52,105900,8810.09
2015-08-14,9822.02,9919.26,8849.54,9724.77,109000,8899.08
2015-08-13,9724.77,9724.77,9433.03,9433.03,114100,8632.11
2015-08-12,9822.02,9919.26,9238.53,9627.52,107800,8810.09
2015-08-11,10016.50,10016.50,9724.77,9822.02,114100,8988.07
2015-08-10,10016.50,10113.80,9433.03,10016.50,105200,9166.04
2015-08-07,10113.80,10211.00,9627.52,10016.50,104000,9166.04
2015-08-06,10211.00,10211.00,9530.27,10016.50,119200,9166.04
2015-08-05,9919.26,10113.80,9919.26,10113.80,117400,9255.08
2015-08-04,9627.52,10016.50,9627.52,9919.26,106300,9077.06
2015-08-03,9724.77,9822.02,9335.78,9627.52,80200,8810.09
2015-07-31,9822.02,10016.50,9627.52,9822.02,93800,8988.07
2015-07-30,9141.28,9822.02,8557.80,9822.02,92600,8988.07
2015-07-29,9044.04,9141.28,9044.04,9141.28,46200,8365.13
2015-07-28,9627.52,9724.77,9141.28,9141.28,41700,8365.13
2015-07-27,9044.04,9724.77,8946.79,9724.77,94700,8899.08
2015-07-24,8946.79,9044.04,8946.79,9044.04,47000,8276.15
2015-07-23,8946.79,9238.53,8946.79,9044.04,54600,8276.15
2015-07-22,8849.54,9238.53,8849.54,9238.53,40300,8454.13
2015-07-21,8752.29,9141.28,8752.29,8946.79,64700,8187.16
