Date	Price	Open	High	Low	Vol.	Change %
Jan 15, 2016	159.12	157.56	159.75	157.44	-	1.05%
Jan 14, 2016	157.47	157.66	158.81	156.94	338.58K	-0.67%
Jan 13, 2016	158.53	157.44	159.12	156.72	393.67K	0.62%
Jan 12, 2016	157.56	155.47	157.94	155.03	366.11K	1.14%
Jan 11, 2016	155.78	156.69	157.09	155.34	234.86K	-0.38%
Jan 08, 2016	156.38	155.94	156.75	154.44	333.21K	0.24%
Jan 07, 2016	156.00	155.53	156.78	154.84	335.27K	0.26%
Jan 06, 2016	155.59	153.97	155.72	153.72	268.85K	1.24%
Jan 05, 2016	153.69	154.28	154.59	153.53	217.89K	-0.36%
Jan 04, 2016	154.25	153.44	155.44	153.28	225.39K	0.33%
Dec 31, 2015	153.75	153.47	153.94	153.22	110.29K	0.33%
Dec 30, 2015	153.25	153.47	153.72	152.75	148.90K	-0.02%
Dec 29, 2015	153.28	155.50	155.78	153.12	142.17K	-1.50%
Dec 28, 2015	155.62	155.00	156.09	154.88	111.65K	0.36%
Dec 24, 2015	155.06	154.34	155.09	154.28	50.54K	0.53%
Dec 23, 2015	154.25	155.22	155.25	153.75	140.71K	-0.52%
Dec 22, 2015	155.06	156.34	156.47	155.00	122.02K	-1.80%
Dec 21, 2015	157.91	157.47	158.22	157.44	0.44K	0.12%
Dec 18, 2015	157.72	157.41	158.00	157.31	0.57K	0.30%
Dec 17, 2015	157.25	156.38	157.34	156.22	0.60K	0.86%
Dec 16, 2015	155.91	156.09	156.31	155.00	0.64K	-0.12%
Dec 15, 2015	156.09	156.97	156.97	155.34	3.38K	-0.46%
Dec 14, 2015	156.81	158.28	158.62	156.50	2.21K	-1.12%
Dec 11, 2015	158.59	156.75	158.88	156.75	3.23K	1.35%
Dec 10, 2015	156.47	156.50	157.00	156.38	2.48K	-0.24%
Dec 09, 2015	156.84	156.44	157.00	155.25	1.77K	0.40%
Dec 08, 2015	156.22	156.38	157.34	156.12	2.13K	-0.30%
