Date,Open,High,Low,Close,Volume,Adj Close
2016-01-20,18.129999,18.129999,18.040001,18.040001,1700,18.040001
2016-01-19,18.57,18.58,18.549999,18.58,4500,18.58
2016-01-15,18.950001,18.950001,18.950001,18.950001,000,18.950001
2016-01-14,18.58,18.950001,18.58,18.950001,400,18.950001
2016-01-13,18.940001,18.940001,18.940001,18.940001,300,18.940001
2016-01-12,18.940001,18.940001,18.940001,18.940001,000,18.940001
2016-01-11,19.00,19.00,18.92,18.940001,1700,18.940001
2016-01-08,19.25,19.25,19.25,19.25,000,19.25
2016-01-07,19.25,19.25,19.25,19.25,600,19.25
2016-01-06,19.459999,19.459999,19.459999,19.459999,500,19.459999
2016-01-05,19.65,19.65,19.65,19.65,100,19.65
2016-01-04,19.57,19.57,19.41,19.540001,10100,19.540001
2015-12-31,19.75,19.75,19.75,19.75,500,19.75
2015-12-30,20.25,20.25,20.25,20.25,000,20.25
2015-12-29,20.25,20.25,19.799999,20.25,2400,20.25
2015-12-28,20.09,20.15,20.09,20.10,3000,20.10
2015-12-24,20.00,20.00,20.00,20.00,000,20.00
2015-12-23,20.049999,20.50,20.00,20.00,2500,20.00
2015-12-22,19.82,20.540001,19.809999,20.41,3000,20.354999
2015-12-21,19.74,19.74,19.67,19.690001,2100,19.63694
2015-12-18,19.780001,19.969999,19.77,19.969999,2700,19.916184
2015-12-17,19.950001,19.950001,19.950001,19.950001,000,19.89624
2015-12-16,19.950001,19.950001,19.950001,19.950001,000,19.89624
2015-12-15,19.969999,20.049999,19.950001,19.950001,3300,19.89624
2015-12-14,20.780001,20.780001,19.73,19.780001,4600,19.726698
2015-12-11,19.91,19.91,19.860001,19.860001,1400,19.806482
2015-12-10,20.049999,20.10,20.049999,20.059999,4100,20.005942
2015-12-09,20.139999,20.15,19.940001,20.00,26400,19.946104
2015-12-08,20.09,20.90,20.049999,20.90,9900,20.843679
2015-12-07,20.02,20.139999,20.01,20.049999,16900,19.995969
2015-12-04,20.18,20.23,20.18,20.23,6000,20.175484
2015-12-03,20.00,20.00,20.00,20.00,8400,19.946104
2015-12-02,20.27,20.27,20.10,20.10,3400,20.045835
2015-12-01,20.15,20.26,20.139999,20.26,1500,20.205404
2015-11-30,20.23,20.23,20.209999,20.209999,1700,20.155537
2015-11-27,20.25,20.25,20.25,20.25,000,20.195431
2015-11-25,20.25,20.25,20.25,20.25,000,20.195431
2015-11-24,20.25,20.25,20.25,20.25,000,20.195431
