Date,Open,High,Low,Close,Volume,Adj Close
2016-01-20,21.969999,21.969999,21.290001,21.700001,11900,21.700001
2016-01-19,22.15,22.35,22.030001,22.129999,4900,22.129999
2016-01-15,21.950001,22.10,21.950001,21.98,3500,21.98
2016-01-14,21.870001,22.129999,21.799999,22.129999,5100,22.129999
2016-01-13,21.90,21.90,21.790001,21.790001,2100,21.790001
2016-01-12,21.719999,21.98,21.719999,21.879999,900,21.879999
2016-01-11,21.950001,22.07,21.870001,21.870001,2700,21.870001
2016-01-08,21.950001,22.10,21.950001,22.07,6000,22.07
2016-01-07,22.15,22.15,22.01,22.01,7000,22.01
2016-01-06,22.15,22.15,22.15,22.15,900,22.15
2016-01-05,22.25,22.459999,22.10,22.15,8200,22.15
2016-01-04,22.370001,22.41,22.18,22.18,7200,22.18
2015-12-31,22.440001,22.50,22.219999,22.219999,2700,22.219999
2015-12-30,22.25,22.379999,22.25,22.299999,3600,22.299999
2015-12-29,22.440001,22.440001,22.209999,22.26,2300,22.26
2015-12-28,22.35,22.440001,22.299999,22.370001,7400,22.370001
2015-12-24,22.40,22.549999,22.389999,22.41,3600,22.41
2015-12-23,22.549999,22.549999,22.40,22.40,1500,22.40
2015-12-22,22.379999,22.50,22.35,22.50,4900,22.50
2015-12-21,22.50,22.60,22.450001,22.450001,6300,22.450001
2015-12-18,22.43,22.440001,22.42,22.440001,2400,22.440001
2015-12-17,22.50,22.57,22.50,22.52,8500,22.52
2015-12-16,22.370001,22.629999,22.35,22.50,9800,22.50
2015-12-15,22.50,22.50,22.25,22.50,2900,22.50
2015-12-14,22.540001,22.540001,22.10,22.33,8700,22.33
2015-12-11,22.68,22.68,22.530001,22.530001,1000,22.530001
2015-12-10,22.530001,22.91,22.530001,22.700001,5400,22.700001
2015-12-09,22.60,22.780001,22.52,22.52,1600,22.474
2015-12-08,22.700001,22.82,22.41,22.799999,18900,22.753427
2015-12-07,22.700001,22.790001,22.200001,22.25,4800,22.204551
2015-12-04,22.879999,22.879999,22.700001,22.879999,6200,22.833263
2015-12-03,22.82,23.040001,22.799999,22.799999,2700,22.753427
2015-12-02,23.139999,23.139999,22.889999,22.90,3000,22.853223
2015-12-01,23.049999,23.15,23.049999,23.15,2200,23.102712
2015-11-30,22.83,23.15,22.83,23.15,1800,23.102712
2015-11-27,23.15,23.15,23.00,23.00,1600,22.953019
2015-11-25,23.15,23.15,23.15,23.15,300,23.102712
2015-11-24,23.129999,23.129999,22.969999,22.969999,1900,22.92308
2015-11-23,22.799999,23.18,22.799999,23.16,22500,23.112692
2015-11-20,22.809999,22.93,22.65,22.799999,11900,22.753427
