Date,Open,High,Low,Close,Volume,Adj Close
2016-01-20,46.720001,46.919998,46.380001,46.830002,242700,46.830002
2016-01-19,46.98,46.98,46.73,46.740002,242700,46.740002
2016-01-15,46.830002,47.049999,46.68,46.990002,50500,46.990002
2016-01-14,47.060001,47.07,46.830002,46.970001,88300,46.970001
2016-01-13,47.110001,47.110001,46.939999,46.970001,28800,46.970001
2016-01-12,46.939999,47.110001,46.939999,46.990002,49100,46.990002
2016-01-11,46.950001,47.119999,46.950001,46.950001,35200,46.950001
2016-01-08,46.889999,47.029999,46.880001,46.970001,50500,46.970001
2016-01-07,46.849998,47.040001,46.849998,47.029999,113100,47.029999
2016-01-06,46.810001,47.009998,46.810001,46.98,49600,46.98
2016-01-05,46.950001,46.970001,46.889999,46.939999,75900,46.939999
2016-01-04,46.990002,47.040001,46.84,46.98,251900,46.98
2015-12-31,46.939999,47.029999,46.849998,46.869999,229200,46.869999
2015-12-30,46.849998,47.09,46.84,46.93,205700,46.93
2015-12-29,46.970001,47.00,46.830002,46.950001,240100,46.950001
2015-12-28,46.869999,46.970001,46.709999,46.779999,200400,46.779999
2015-12-24,46.950001,47.00,46.900002,46.939999,28800,46.939999
2015-12-23,47.009998,47.040001,46.849998,46.880001,89300,46.880001
2015-12-22,47.130001,47.130001,46.830002,47.02,97800,46.859999
2015-12-21,47.169998,47.169998,46.950001,47.099998,87900,46.939725
2015-12-18,47.09,47.369999,47.00,47.099998,159600,46.939725
2015-12-17,47.00,47.080002,47.00,47.049999,73100,46.889896
2015-12-16,47.049999,47.099998,46.959999,47.07,306900,46.909829
2015-12-15,46.98,47.049999,46.919998,46.98,94700,46.820135
2015-12-14,47.18,47.25,47.130001,47.16,71200,46.999522
2015-12-11,47.389999,47.43,47.169998,47.27,163300,47.109149
2015-12-10,47.48,47.50,47.41,47.41,58800,47.248672
2015-12-09,47.459999,47.52,47.41,47.50,64500,47.338366
2015-12-08,47.490002,47.529999,47.41,47.419998,111800,47.258636
2015-12-07,47.48,47.509998,47.439999,47.439999,52000,47.278568
2015-12-04,47.490002,47.549999,47.400002,47.450001,89200,47.288537
2015-12-03,47.540001,47.560001,47.43,47.509998,63500,47.34833
2015-12-02,47.490002,47.52,47.41,47.470001,42900,47.308469
2015-12-01,47.450001,47.470001,47.400002,47.439999,69300,47.278568
2015-11-30,47.470001,47.470001,47.34,47.450001,49300,47.288537
2015-11-27,47.360001,47.419998,47.360001,47.41,13000,47.248672
2015-11-25,47.41,47.41,47.299999,47.400002,50300,47.238707
2015-11-24,47.240002,47.419998,47.240002,47.400002,29500,47.238707
2015-11-23,47.459999,47.459999,47.299999,47.400002,165900,47.238707
2015-11-20,47.450001,47.459999,47.299999,47.419998,61700,47.258636
2015-11-19,47.75,47.75,47.560001,47.580002,60200,47.258642
2015-11-18,47.75,47.75,47.619999,47.700001,39400,47.37783
2015-11-17,47.669998,47.75,47.580002,47.68,46100,47.357965
2015-11-16,47.84,47.84,47.599998,47.740002,59100,47.417561
2015-11-13,47.919998,48.09,47.82,47.82,55600,47.497019
2015-11-12,48.080002,48.080002,48.00,48.009998,460900,47.685734
2015-11-11,48.119999,48.16,48.009998,48.080002,57200,47.755265
2015-11-10,48.150002,48.169998,48.00,48.139999,114300,47.814857
2015-11-09,48.110001,48.169998,48.00,48.110001,62800,47.785061
2015-11-06,48.220001,48.279999,48.07,48.169998,71200,47.844653
2015-11-05,48.189999,48.299999,48.16,48.25,339400,47.924115
2015-11-04,48.259998,48.259998,48.189999,48.23,46700,47.904249
2015-11-03,48.25,48.259998,48.09,48.23,103100,47.904249
2015-11-02,48.220001,48.779999,48.040001,48.110001,38800,47.785061
2015-10-30,48.240002,48.25,48.150002,48.240002,142900,47.914184
2015-10-29,48.240002,48.25,48.110001,48.23,161800,47.904249
2015-10-28,48.169998,48.220001,48.009998,48.150002,29400,47.824792
2015-10-27,48.119999,48.200001,48.060001,48.130001,42100,47.804926
2015-10-26,47.990002,48.200001,47.990002,48.02,40700,47.695669
2015-10-23,48.209999,48.209999,47.869999,47.990002,59800,47.665872
2015-10-22,48.110001,48.25,48.110001,48.220001,117000,47.894318
2015-10-21,48.27,48.279999,48.110001,48.240002,46200,47.914184
2015-10-20,48.400002,48.41,48.27,48.400002,42100,47.914182
2015-10-19,48.389999,48.419998,48.240002,48.34,34900,47.854783
2015-10-16,48.299999,48.32,48.200001,48.220001,54100,47.735988
2015-10-15,48.290001,48.43,48.25,48.32,71800,47.834983
2015-10-14,48.369999,48.419998,48.25,48.400002,32900,47.914182
2015-10-13,48.220001,48.43,48.220001,48.400002,19100,47.914182
2015-10-12,48.380001,48.43,48.25,48.400002,15300,47.914182
2015-10-09,48.310001,48.360001,48.209999,48.23,20800,47.745886
2015-10-08,48.330002,48.349998,48.25,48.310001,31100,47.825085
2015-10-07,48.220001,48.34,48.169998,48.299999,86800,47.815183
2015-10-06,48.049999,48.25,48.02,48.169998,30400,47.686487
2015-10-05,48.200001,48.240002,48.00,48.18,55500,47.696389
2015-10-02,48.23,48.290001,48.099998,48.099998,44800,47.61719
2015-10-01,48.310001,48.389999,48.18,48.18,191700,47.696389
2015-09-30,48.389999,48.419998,48.25,48.279999,52400,47.795383
2015-09-29,48.50,48.52,48.290001,48.459999,115200,47.973577
2015-09-28,48.639999,48.68,48.560001,48.580002,57100,48.092375
2015-09-25,48.689999,48.700001,48.610001,48.689999,22700,48.201268
2015-09-24,48.619999,48.759998,48.57,48.759998,189700,48.270565
2015-09-23,48.68,48.790001,48.560001,48.709999,105600,48.221068
2015-09-22,48.970001,49.00,48.91,48.98,51800,48.329964
2015-09-21,49.00,49.02,48.950001,48.98,34000,48.329964
2015-09-18,48.91,49.029999,48.900002,48.990002,60400,48.339833
2015-09-17,49.080002,49.150002,48.959999,49.009998,96700,48.359565
2015-09-16,49.00,49.060001,48.950001,49.049999,26600,48.399035
2015-09-15,49.080002,49.080002,48.98,49.009998,31900,48.359565
2015-09-14,49.060001,49.080002,48.869999,49.040001,68500,48.389169
2015-09-11,48.91,49.009998,48.849998,49.00,65000,48.349699
2015-09-10,48.77,48.939999,48.77,48.880001,66900,48.231293
2015-09-09,48.98,48.98,48.740002,48.82,43900,48.172087
2015-09-08,48.93,48.93,48.799999,48.869999,41700,48.221423
2015-09-04,48.669998,48.889999,48.669998,48.860001,26300,48.211558
2015-09-03,48.900002,48.900002,48.720001,48.849998,98300,48.201688
2015-09-02,48.830002,48.849998,48.759998,48.82,61000,48.172087
2015-09-01,48.599998,48.849998,48.599998,48.84,48900,48.191822
2015-08-31,48.73,48.830002,48.66,48.77,35500,48.122752
2015-08-28,48.66,48.919998,48.619999,48.830002,118100,48.181957
2015-08-27,48.830002,48.939999,48.470001,48.799999,55700,48.152352
2015-08-26,48.50,48.619999,48.369999,48.490002,114500,47.846469
2015-08-25,48.639999,48.759998,48.27,48.59,105700,47.94514
2015-08-24,48.48,48.709999,48.419998,48.490002,98300,47.846469
2015-08-21,48.810001,48.849998,48.740002,48.799999,38800,48.152352
2015-08-20,48.950001,49.00,48.950001,48.98,43700,48.177023
2015-08-19,48.919998,49.009998,48.91,49.00,30500,48.196696
2015-08-18,48.91,49.00,48.91,48.970001,44400,48.167189
2015-08-17,49.00,49.00,48.91,48.98,47000,48.177023
2015-08-14,48.860001,49.040001,48.84,49.040001,45000,48.236041
2015-08-13,48.939999,48.950001,48.82,48.82,38200,48.019647
2015-08-12,48.900002,48.98,48.900002,48.950001,19800,48.147516
2015-08-11,48.93,49.049999,48.93,49.009998,16600,48.20653
2015-08-10,48.990002,49.080002,48.880001,49.060001,152200,48.255714
2015-08-07,48.889999,49.029999,48.889999,49.00,57300,48.196696
2015-08-06,49.02,49.049999,48.939999,49.029999,39500,48.226203
2015-08-05,49.060001,49.09,49.029999,49.049999,36800,48.245876
2015-08-04,49.02,49.080002,48.990002,49.07,83600,48.265548
2015-08-03,49.060001,49.110001,49.009998,49.060001,64400,48.255714
2015-07-31,48.990002,49.080002,48.990002,49.060001,27300,48.255714
2015-07-30,49.07,49.110001,48.970001,49.00,29700,48.196696
2015-07-29,49.02,49.09,48.959999,48.959999,110500,48.157351
2015-07-28,49.080002,49.110001,48.98,48.98,178400,48.177023
2015-07-27,49.009998,49.189999,49.009998,49.189999,29700,48.38358
2015-07-24,49.18,49.189999,49.060001,49.150002,52900,48.344238
2015-07-23,49.23,49.23,49.099998,49.200001,53100,48.393418
2015-07-22,49.25,49.25,49.099998,49.200001,78400,48.393418
2015-07-21,49.200001,49.279999,49.130001,49.209999,62900,48.403252
2015-07-20,49.34,49.349998,49.27,49.330002,67500,48.368827
2015-07-17,49.34,49.34,49.25,49.290001,46500,48.329606
2015-07-16,49.200001,49.32,49.200001,49.259998,43800,48.300188
2015-07-15,49.240002,49.279999,49.200001,49.279999,122900,48.319799
2015-07-14,49.220001,49.220001,49.139999,49.200001,150400,48.241359
2015-07-13,49.189999,49.189999,49.119999,49.139999,41300,48.182527
2015-07-10,49.130001,49.150002,49.060001,49.099998,29600,48.143306
2015-07-09,49.099998,49.119999,49.00,49.00,23100,48.045256
2015-07-08,49.02,49.099998,49.00,49.099998,12100,48.143306
2015-07-07,49.049999,49.060001,49.00,49.049999,34100,48.094281
2015-07-06,49.029999,49.099998,49.00,49.080002,29100,48.123699
2015-07-02,48.91,49.09,48.91,49.029999,31600,48.07467
2015-07-01,48.869999,49.029999,48.849998,49.00,29400,48.045256
2015-06-30,48.950001,49.02,48.889999,48.889999,216900,47.937398
2015-06-29,49.00,49.099998,48.959999,48.970001,47600,48.015841
2015-06-26,49.099998,49.099998,49.040001,49.060001,26400,48.104088
2015-06-25,49.099998,49.110001,49.009998,49.09,46700,48.133502
2015-06-24,49.099998,49.110001,49.060001,49.09,30800,48.133502
2015-06-23,49.259998,49.27,49.16,49.259998,59800,48.153112
2015-06-22,49.220001,49.259998,49.189999,49.259998,30600,48.153112
2015-06-19,49.07,49.209999,49.07,49.200001,16000,48.094462
2015-06-18,49.200001,49.209999,49.119999,49.18,30700,48.074911
2015-06-17,49.169998,49.18,49.040001,49.16,51100,48.05536
2015-06-16,49.169998,49.209999,49.169998,49.200001,171200,48.094462
2015-06-15,49.169998,49.23,49.169998,49.220001,17400,48.114013
2015-06-12,49.23,49.259998,49.18,49.220001,246500,48.114013
2015-06-11,49.240002,49.25,49.200001,49.209999,18500,48.104236
2015-06-10,49.27,49.27,49.240002,49.27,43700,48.162889
2015-06-09,49.220001,49.299999,49.220001,49.27,54400,48.162889
2015-06-08,49.310001,49.330002,49.200001,49.27,78500,48.162889
2015-06-05,49.290001,49.299999,49.209999,49.290001,33100,48.18244
2015-06-04,49.299999,49.310001,49.209999,49.240002,14800,48.133564
2015-06-03,49.209999,49.330002,49.209999,49.310001,17600,48.201991
2015-06-02,49.209999,49.34,49.209999,49.259998,74200,48.153112
2015-06-01,49.360001,49.360001,49.25,49.299999,190200,48.192214
2015-05-29,49.32,49.34,49.279999,49.32,30200,48.211765
2015-05-28,49.330002,49.330002,49.200001,49.32,26000,48.211765
2015-05-27,49.330002,49.34,49.189999,49.189999,242500,48.084685
2015-05-26,49.200001,49.32,49.200001,49.290001,20400,48.18244
2015-05-22,49.18,49.349998,49.18,49.209999,45100,48.104236
2015-05-21,49.290001,49.310001,49.27,49.290001,30500,48.18244
2015-05-20,49.439999,49.459999,49.380001,49.439999,27700,48.182438
