Date,Open,High,Low,Close,Volume,Adj Close
2016-01-20,11.33,11.33,11.33,11.33,300,11.33
2016-01-19,12.00,12.00,12.00,12.00,1300,12.00
2016-01-15,12.37,12.37,12.37,12.37,000,12.37
2016-01-14,12.37,12.37,12.37,12.37,000,12.37
2016-01-13,12.37,12.37,12.37,12.37,000,12.37
2016-01-12,12.37,12.37,12.37,12.37,000,12.37
2016-01-11,12.35,12.37,12.35,12.37,600,12.37
2016-01-08,12.14,12.14,12.12,12.12,200,12.12
2016-01-07,12.30,12.30,12.30,12.30,800,12.30
2016-01-06,12.04,12.04,12.04,12.04,000,12.04
2016-01-05,12.04,12.04,12.04,12.04,000,12.04
2016-01-04,12.04,12.04,12.04,12.04,000,12.04
2015-12-31,12.04,12.04,12.04,12.04,000,12.04
2015-12-30,12.40,12.77,12.04,12.04,25400,12.04
2015-12-29,12.38,12.38,12.38,12.38,200,12.38
2015-12-28,12.38,12.38,12.35,12.35,400,12.35
2015-12-24,12.00,12.00,12.00,12.00,500,12.00
2015-12-23,12.04,12.04,12.04,12.04,000,12.04
2015-12-22,12.04,12.04,12.04,12.04,000,12.04
2015-12-21,12.04,12.04,12.04,12.04,000,12.04
2015-12-18,12.06,12.20,12.04,12.04,500,12.04
2015-12-17,11.81,11.81,11.70,11.73,500,11.73
2015-12-16,11.70,11.76,11.70,11.74,1000,11.74
2015-12-15,12.07,12.07,12.07,12.07,000,12.07
2015-12-14,12.07,12.07,12.07,12.07,000,12.07
2015-12-11,12.07,12.07,12.07,12.07,000,12.07
2015-12-10,12.07,12.07,12.07,12.07,000,12.07
2015-12-09,12.07,12.07,12.07,12.07,000,12.07
2015-12-08,12.07,12.07,12.07,12.07,400,12.07
2015-12-07,11.70,11.70,11.70,11.70,000,11.70
2015-12-04,11.70,11.70,11.70,11.70,000,11.70
2015-12-03,11.70,11.70,11.70,11.70,000,11.70
2015-12-02,11.70,11.70,11.70,11.70,500,11.70
2015-12-01,12.09,12.09,12.09,12.09,000,12.09
2015-11-30,12.09,12.09,12.09,12.09,000,12.09
2015-11-27,12.09,12.09,12.09,12.09,000,12.09
2015-11-25,12.09,12.09,12.09,12.09,100,12.09
2015-11-24,11.43,11.43,11.43,11.43,000,11.43
2015-11-23,11.43,11.43,11.43,11.43,200,11.43
2015-11-20,11.90,11.90,11.90,11.90,000,11.90
2015-11-19,11.90,11.90,11.90,11.90,000,11.90
2015-11-18,11.90,11.90,11.90,11.90,2100,11.90
2015-11-17,12.00,12.00,12.00,12.00,000,12.00
2015-11-16,12.00,12.00,12.00,12.00,000,12.00
2015-11-13,12.00,12.00,12.00,12.00,000,12.00
2015-11-12,12.00,12.00,12.00,12.00,000,12.00
2015-11-11,12.19,12.25,12.00,12.00,2400,12.00
2015-11-10,11.90,11.90,11.90,11.90,100,11.90
2015-11-09,12.60,12.61,12.60,12.61,600,12.61
2015-11-06,12.60,12.60,12.60,12.60,000,12.60
2015-11-05,12.60,12.60,12.60,12.60,000,12.60
2015-11-04,12.60,12.60,12.60,12.60,000,12.60
2015-11-03,12.60,12.60,12.60,12.60,500,12.60
2015-11-02,12.60,12.60,12.60,12.60,100,12.60
2015-10-30,12.60,12.60,12.60,12.60,300,12.60
