Date,Open,High,Low,Close,Volume,Adj Close
2016-01-20,40.73,41.360001,40.529999,40.869999,150200,40.869999
2016-01-19,41.93,42.169998,41.240002,41.25,63800,41.25
2016-01-15,41.209999,41.830002,40.939999,41.490002,71500,41.490002
2016-01-14,42.98,43.02,41.849998,42.209999,95300,42.209999
2016-01-13,44.32,44.919998,42.450001,42.639999,72900,42.639999
2016-01-12,44.91,44.91,43.77,44.23,104300,44.23
2016-01-11,44.240002,45.209999,44.240002,44.52,58200,44.52
2016-01-08,44.849998,44.849998,44.00,44.139999,165800,44.139999
2016-01-07,44.919998,45.16,44.57,44.639999,51600,44.639999
2016-01-06,45.099998,45.689999,45.099998,45.450001,69200,45.450001
2016-01-05,45.540001,45.740002,45.110001,45.439999,58600,45.439999
2016-01-04,45.91,46.060001,45.169998,45.349998,120100,45.349998
2015-12-31,47.82,47.82,46.610001,46.619999,52500,46.619999
2015-12-30,47.900002,48.259998,47.549999,47.860001,41000,47.860001
2015-12-29,47.52,48.080002,47.419998,47.990002,25700,47.990002
2015-12-28,47.07,47.50,46.720001,47.34,26600,47.34
2015-12-24,46.970001,47.619999,46.950001,47.310001,15100,47.310001
2015-12-23,46.810001,47.009998,46.540001,46.950001,26000,46.950001
2015-12-22,46.619999,46.689999,45.740002,46.68,37900,46.68
2015-12-21,47.060001,47.82,46.02,46.50,56200,46.50
2015-12-18,46.900002,47.290001,46.610001,46.880001,203900,46.880001
2015-12-17,47.91,48.48,46.830002,47.18,94300,47.18
2015-12-16,48.540001,48.650002,47.799999,48.549999,87800,48.549999
2015-12-15,48.060001,48.779999,48.060001,48.400002,101400,48.400002
2015-12-14,47.189999,47.98,45.93,47.830002,114000,47.830002
2015-12-11,47.470001,48.139999,47.099998,47.400002,209900,47.400002
2015-12-10,47.84,48.540001,47.700001,48.200001,65100,48.200001
2015-12-09,47.799999,48.490002,47.77,47.91,115800,47.91
2015-12-08,48.029999,48.830002,47.869999,48.00,101100,48.00
2015-12-07,49.049999,49.110001,47.970001,48.48,56500,48.48
2015-12-04,48.669998,49.490002,48.34,48.970001,34100,48.970001
2015-12-03,48.75,49.23,48.279999,48.490002,89400,48.490002
2015-12-02,48.540001,48.759998,48.50,48.68,60700,48.68
2015-12-01,48.360001,48.639999,48.049999,48.639999,44500,48.639999
2015-11-30,48.450001,48.639999,47.57,48.139999,76300,48.139999
2015-11-27,47.98,48.549999,47.709999,48.369999,33200,48.369999
2015-11-25,47.830002,48.009998,47.360001,48.009998,22500,48.009998
2015-11-24,47.299999,47.970001,47.040001,47.889999,31500,47.889999
2015-11-23,47.619999,48.389999,47.619999,47.799999,54800,47.799999
2015-11-20,47.549999,47.959999,47.380001,47.700001,49900,47.700001
2015-11-19,47.240002,47.630001,47.16,47.349998,60700,47.349998
2015-11-18,47.060001,47.650002,46.689999,47.41,91700,47.41
2015-11-17,46.77,47.59,46.040001,47.09,66900,47.09
2015-11-16,46.02,46.810001,46.02,46.560001,106200,46.560001
2015-11-13,47.25,47.790001,46.610001,46.689999,69800,46.689999
2015-11-12,47.529999,47.810001,46.610001,47.669998,82500,47.669998
2015-11-11,48.09,48.529999,47.740002,48.00,47800,48.00
2015-11-10,47.439999,48.040001,47.330002,47.91,44700,47.91
2015-11-09,48.119999,48.34,47.150002,47.490002,57400,47.490002
2015-11-06,46.740002,48.220001,46.200001,48.119999,53300,48.119999
2015-11-05,46.18,47.189999,46.16,46.830002,57800,46.830002
2015-11-04,45.880001,46.52,45.75,46.110001,59800,46.110001
2015-11-03,45.709999,46.049999,45.139999,45.880001,46500,45.880001
2015-11-02,44.93,46.169998,44.91,45.849998,62300,45.849998
2015-10-30,45.84,46.169998,44.779999,44.93,72700,44.93
2015-10-29,46.610001,46.869999,45.939999,46.040001,25100,46.040001
2015-10-28,44.73,46.799999,44.73,46.799999,89700,46.799999
2015-10-27,45.84,46.34,44.389999,44.75,112400,44.75
2015-10-26,46.02,46.349998,45.529999,45.580002,65400,45.580002
2015-10-23,45.700001,46.57,45.419998,46.330002,39500,46.330002
2015-10-22,45.259998,46.139999,45.259998,45.540001,31300,45.540001
2015-10-21,45.23,45.560001,44.959999,45.02,48000,45.02
2015-10-20,44.91,45.700001,44.91,45.450001,26500,45.205001
2015-10-19,45.259998,45.709999,45.099998,45.119999,29400,44.876778
2015-10-16,45.360001,45.959999,44.439999,45.52,63700,45.274624
2015-10-15,43.860001,45.279999,43.860001,45.279999,86700,45.035916
2015-10-14,44.610001,44.810001,43.619999,43.720001,34600,43.484327
2015-10-13,44.860001,45.080002,44.34,44.509998,21300,44.270066
2015-10-12,44.50,45.110001,44.18,44.950001,21700,44.707697
2015-10-09,44.900002,45.150002,44.240002,44.459999,28400,44.220336
2015-10-08,44.369999,44.900002,44.240002,44.900002,53900,44.657967
2015-10-07,43.720001,44.50,43.599998,44.369999,64200,44.130821
2015-10-06,44.52,44.52,43.580002,43.639999,78400,43.404757
2015-10-05,44.720001,44.939999,44.380001,44.450001,76200,44.210392
2015-10-02,45.669998,45.669998,43.380001,44.41,70500,44.170607
2015-10-01,45.25,46.299999,44.459999,46.200001,198100,45.950959
2015-09-30,44.880001,45.400002,44.77,45.150002,69900,44.906619
2015-09-29,44.290001,44.959999,44.139999,44.779999,92100,44.538611
2015-09-28,42.919998,44.619999,42.919998,44.380001,222500,44.14077
2015-09-25,42.849998,43.380001,42.790001,43.080002,52700,42.847778
2015-09-24,41.900002,42.689999,41.77,42.450001,46300,42.221173
2015-09-23,41.75,42.130001,41.580002,42.040001,29000,41.813383
2015-09-22,41.490002,41.799999,41.419998,41.580002,42300,41.355864
2015-09-21,41.279999,42.080002,41.09,41.790001,55900,41.564731
2015-09-18,41.299999,41.549999,40.84,41.310001,71000,41.087319
2015-09-17,41.84,42.540001,41.200001,41.810001,94300,41.584624
2015-09-16,41.779999,42.16,41.25,41.939999,70200,41.71392
2015-09-15,41.18,41.830002,41.18,41.709999,22000,41.48516
2015-09-14,41.119999,41.360001,40.91,41.240002,57300,41.017696
2015-09-11,40.77,41.150002,40.77,41.110001,23500,40.888396
2015-09-10,41.07,41.279999,40.830002,41.080002,22200,40.858559
2015-09-09,41.18,41.189999,40.650002,40.830002,36700,40.609907
2015-09-08,40.599998,40.970001,40.200001,40.830002,48500,40.609907
2015-09-04,39.720001,40.139999,39.610001,39.939999,27400,39.724701
2015-09-03,40.330002,40.68,40.130001,40.130001,31100,39.913679
2015-09-02,40.150002,40.939999,39.73,40.43,54700,40.212061
2015-09-01,40.52,40.830002,39.639999,39.810001,69600,39.595405
2015-08-31,40.540001,41.139999,40.419998,41.09,28700,40.868503
2015-08-28,40.220001,40.84,40.16,40.720001,44000,40.500499
2015-08-27,40.73,40.82,39.759998,40.490002,30100,40.271739
2015-08-26,39.790001,40.50,39.099998,40.32,45400,40.102654
2015-08-25,40.799999,40.799999,39.009998,39.009998,75100,38.799714
2015-08-24,39.75,40.82,39.75,39.810001,85500,39.595405
2015-08-21,40.50,41.790001,40.459999,41.169998,54500,40.94807
2015-08-20,41.700001,42.259998,41.049999,41.169998,37000,40.94807
2015-08-19,41.970001,42.639999,41.400002,42.080002,45800,41.853169
2015-08-18,42.560001,42.560001,41.900002,42.27,41200,42.042143
2015-08-17,42.279999,42.59,41.98,42.459999,63100,42.231117
